id,text,label
1,"The Moon landing was faked in a Hollywood studio by Stanley Kubrick. New declassified documents reveal the truth.",1
2,"NASA successfully landed the Perseverance rover on Mars in February 2021 to search for signs of ancient life.",0
3,"COVID-19 vaccines contain microchips designed by Bill Gates to track everyone's movements.",1
4,"The US Federal Reserve announced an interest rate hike of 0.25% today to combat inflation.",0
5,"A new study shows that drinking 10 cups of coffee a day cures cancer completely.",1
6,"The United Nations held a climate change summit in New York City with leaders from 150 countries.",0
7,"According to recent reports, the Earth is flat and the ice wall is guarded by the military.",1
8,"Apple Inc. announced its latest iPhone model with a titanium body and an advanced camera system.",0
9,"Local officials said that a new park will be opened downtown next month with funding from the city council.",0
10,"You won't believe this secret miracle cure for weight loss! Doctors are shocked!",1
